token,rater_label,clip_id,clip_filename,watched_complete,watch_progress_sec,duration_sec,memorability,perceived_agency,best_context,payload_json,end_highest_rated_notes,end_lowest_rated_notes,end_further_comments,end_payload_json,updated_at
2d7296df02f5bd7ff095f8b8304d3dc7,002,8,4069S_B_2026-01-07_12-00-27.mp4,True,80.4,80.4,,6,live_performance,"{'R_1': '5', 'R_2': '5', 'R_3': '6', 'R_4': '5', 'R_5': '5', 'R_6': '3', 'R_7': '4', 'R_8': '5', 'R_9': '6', 'comments': '', 'attention': 'Balanced', 'condition_guess': 'audiovisual'}",,,,{},2026-01-10T15:49:27.143717+00:00
2d7296df02f5bd7ff095f8b8304d3dc7,002,3,1661J_C_2026-01-06_12-27-39.mp4,True,80.698,80.698,,6,live_performance,"{'R_1': '7', 'R_2': '6', 'R_3': '6', 'R_4': '6', 'R_5': '6', 'R_6': '2', 'R_7': '3', 'R_8': '4', 'R_9': '6', 'comments': '', 'attention': 'Balanced', 'condition_guess': 'audiovisual'}",,,,{},2026-01-10T15:52:14.481481+00:00
2d7296df02f5bd7ff095f8b8304d3dc7,002,29,Default_Params_2026-01-07_10-17-02.mp4,True,70.933333,70.933333,,3,installation_gallery,"{'R_1': '6', 'R_2': '7', 'R_3': '6', 'R_4': '6', 'R_5': '6', 'R_6': '1', 'R_7': '1', 'R_8': '6', 'R_9': '3', 'comments': '', 'attention': 'Balanced', 'condition_guess': 'unsure'}",,,,{},2026-01-10T16:47:42.297042+00:00
2d7296df02f5bd7ff095f8b8304d3dc7,002,6,3483M_C_2026-01-06_15-51-19.mp4,True,81.541016,81.541016,,6,background_ambience,"{'R_1': '7', 'R_2': '6', 'R_3': '6', 'R_4': '6', 'R_5': '6', 'R_6': '3', 'R_7': '2', 'R_8': '5', 'R_9': '6', 'comments': '', 'attention': 'Balanced', 'condition_guess': 'audiovisual'}",,,,{},2026-01-10T16:53:43.917080+00:00
2d7296df02f5bd7ff095f8b8304d3dc7,002,9,4069S_C_2026-01-07_11-42-07.mp4,True,75.516667,75.516667,,7,live_performance,"{'R_1': '7', 'R_2': '7', 'R_3': '7', 'R_4': '7', 'R_5': '7', 'R_6': '1', 'R_7': '1', 'R_8': '5', 'R_9': '7', 'comments': '', 'attention': 'Balanced', 'condition_guess': 'audiovisual'}",,,,{},2026-01-10T17:18:53.706015+00:00
2d7296df02f5bd7ff095f8b8304d3dc7,002,17,5344J_B_2026-01-05_17-27-06.mp4,True,71.033333,71.033333,,4,unsure,"{'R_1': '4', 'R_2': '3', 'R_3': '5', 'R_4': '4', 'R_5': '4', 'R_6': '4', 'R_7': '3', 'R_8': '1', 'R_9': '4', 'comments': '', 'attention': 'Balanced', 'condition_guess': 'audio_only'}",,,,{},2026-01-10T20:56:20.935945+00:00
9ff6821526a4f1c9aa137e26a25c378d,012,8,4069S_B_2026-01-07_12-00-27.mp4,True,80.376,80.376,,2,installation_gallery,"{'R_1': '6', 'R_2': '7', 'R_3': '7', 'R_4': '7', 'R_5': '6', 'R_6': '2', 'R_7': '5', 'R_8': '4', 'R_9': '2', 'comments': 'Very fast moving - I found myself wondering what it would be like slowed down', 'attention': 'Mostly sound', 'condition_guess': 'visual_only'}",,,,{},2026-01-11T04:28:13.477629+00:00
9ff6821526a4f1c9aa137e26a25c378d,012,15,5220H_C_2026-01-05_20-04-01.mp4,True,76.546,76.546,,6,live_performance,"{'R_1': '7', 'R_2': '7', 'R_3': '7', 'R_4': '7', 'R_5': '7', 'R_6': '2', 'R_7': '2', 'R_8': '6', 'R_9': '6', 'comments': '', 'attention': 'Mostly sound', 'condition_guess': 'audiovisual'}",,,,{},2026-01-11T04:30:32.961584+00:00
9ff6821526a4f1c9aa137e26a25c378d,012,16,5344J_A_2026-01-05_17-06-17.mp4,True,78.017,78.017,,5,background_ambience,"{'R_1': '6', 'R_2': '7', 'R_3': '7', 'R_4': '7', 'R_5': '7', 'R_6': '1', 'R_7': '1', 'R_8': '5', 'R_9': '5', 'comments': 'Love the colours on this one - it feels like they match the ambence of the sound', 'attention': 'Balanced', 'condition_guess': 'audiovisual'}",,,,{},2026-01-11T04:33:35.755708+00:00
9ff6821526a4f1c9aa137e26a25c378d,012,5,3483M_B_2026-01-06_15-16-26.mp4,True,73.591,73.591,,2,installation_gallery,"{'R_1': '3', 'R_2': '3', 'R_3': '5', 'R_4': '3', 'R_5': '3', 'R_6': '5', 'R_7': '6', 'R_8': '2', 'R_9': '2', 'comments': '', 'attention': 'Mostly sound', 'condition_guess': 'unsure'}",,,,{},2026-01-11T04:35:25.095101+00:00
9ff6821526a4f1c9aa137e26a25c378d,012,28,Default_Params_2026-01-06_10-07-27.mp4,True,69.0,69.0,,6,background_ambience,"{'R_1': '5', 'R_2': '5', 'R_3': '6', 'R_4': '7', 'R_5': '7', 'R_6': '2', 'R_7': '2', 'R_8': '5', 'R_9': '6', 'comments': '', 'attention': 'Balanced', 'condition_guess': 'visual_only'}",,,,{},2026-01-11T04:37:23.517586+00:00
9ff6821526a4f1c9aa137e26a25c378d,012,27,7974C_C_2026-01-07_18-59-15.mp4,True,57.417,57.417,,2,installation_gallery,"{'R_1': '6', 'R_2': '4', 'R_3': '7', 'R_4': '6', 'R_5': '6', 'R_6': '3', 'R_7': '4', 'R_8': '3', 'R_9': '2', 'comments': 'A bit chaotic but in a good way - it was immersive', 'attention': 'Balanced', 'condition_guess': 'visual_only'}",,,,{},2026-01-11T04:39:34.483984+00:00
9ff6821526a4f1c9aa137e26a25c378d,012,3,1661J_C_2026-01-06_12-27-39.mp4,True,80.698,80.698,,5,unsure,"{'R_1': '3', 'R_2': '5', 'R_3': '6', 'R_4': '2', 'R_5': '3', 'R_6': '5', 'R_7': '2', 'R_8': '2', 'R_9': '5', 'comments': '', 'attention': 'Balanced', 'condition_guess': 'audio_only'}",,,,{},2026-01-11T04:43:14.132369+00:00
690b7749f82a727cfd18f7e25ac99188,001,8,4069S_B_2026-01-07_12-00-27.mp4,True,80.376,80.376,,4,unsure,"{'R_1': '1', 'R_2': '1', 'R_3': '1', 'R_4': '1', 'R_5': '1', 'R_6': '7', 'R_7': '7', 'R_8': '2', 'R_9': '4', 'comments': ""Audio far  too frenetic and felt like an alarm at times, wanted it to stop. Sound overwhelmed me so much so wasn't really able to concentrate on visuals."", 'attention': 'Mostly sound', 'condition_guess': 'audio_only'}","The fascinating array of colours and visual patterns and when I could imagine the sounds as a familiar instrument or style of music - e.g. steel pan drum, piano, and jazz. ",the very high pitched notes that weren't harmonious and the speed of some that was not harmonious and occasionally alarming. I became wary of the pink notes on the outer edges as they came to represent the sounds I personally didn't like. ,I am curious to know how these clips were created and find out more.,"{'further_comments': 'I am curious to know how these clips were created and find out more.', 'lowest_rated_notes': ""the very high pitched notes that weren't harmonious and the speed of some that was not harmonious and occasionally alarming. I became wary of the pink notes on the outer edges as they came to represent the sounds I personally didn't like. "", 'highest_rated_notes': 'The fascinating array of colours and visual patterns and when I could imagine the sounds as a familiar instrument or style of music - e.g. steel pan drum, piano, and jazz. '}",2026-01-11T15:34:11.068304+00:00
690b7749f82a727cfd18f7e25ac99188,001,27,7974C_C_2026-01-07_18-59-15.mp4,True,57.417,57.417,,4,installation_gallery,"{'R_1': '6', 'R_2': '3', 'R_3': '4', 'R_4': '5', 'R_5': '6', 'R_6': '2', 'R_7': '5', 'R_8': '2', 'R_9': '4', 'comments': 'visual patterns more visible on this clip than the previous one. Sounds calmer at times but still too frantic and clashing for me. ', 'attention': 'Balanced', 'condition_guess': 'audiovisual'}","The fascinating array of colours and visual patterns and when I could imagine the sounds as a familiar instrument or style of music - e.g. steel pan drum, piano, and jazz. ",the very high pitched notes that weren't harmonious and the speed of some that was not harmonious and occasionally alarming. I became wary of the pink notes on the outer edges as they came to represent the sounds I personally didn't like. ,I am curious to know how these clips were created and find out more.,"{'further_comments': 'I am curious to know how these clips were created and find out more.', 'lowest_rated_notes': ""the very high pitched notes that weren't harmonious and the speed of some that was not harmonious and occasionally alarming. I became wary of the pink notes on the outer edges as they came to represent the sounds I personally didn't like. "", 'highest_rated_notes': 'The fascinating array of colours and visual patterns and when I could imagine the sounds as a familiar instrument or style of music - e.g. steel pan drum, piano, and jazz. '}",2026-01-11T15:38:44.976845+00:00
690b7749f82a727cfd18f7e25ac99188,001,17,5344J_B_2026-01-05_17-27-06.mp4,True,71.026,71.026,,4,installation_gallery,"{'R_1': '3', 'R_2': '6', 'R_3': '6', 'R_4': '6', 'R_5': '6', 'R_6': '2', 'R_7': '3', 'R_8': '4', 'R_9': '4', 'comments': 'lower notes made it feel calmer. Noted single LED then pattern of 2 LEDs repeated ', 'attention': 'Balanced', 'condition_guess': 'audiovisual'}","The fascinating array of colours and visual patterns and when I could imagine the sounds as a familiar instrument or style of music - e.g. steel pan drum, piano, and jazz. ",the very high pitched notes that weren't harmonious and the speed of some that was not harmonious and occasionally alarming. I became wary of the pink notes on the outer edges as they came to represent the sounds I personally didn't like. ,I am curious to know how these clips were created and find out more.,"{'further_comments': 'I am curious to know how these clips were created and find out more.', 'lowest_rated_notes': ""the very high pitched notes that weren't harmonious and the speed of some that was not harmonious and occasionally alarming. I became wary of the pink notes on the outer edges as they came to represent the sounds I personally didn't like. "", 'highest_rated_notes': 'The fascinating array of colours and visual patterns and when I could imagine the sounds as a familiar instrument or style of music - e.g. steel pan drum, piano, and jazz. '}",2026-01-11T15:43:15.053863+00:00
690b7749f82a727cfd18f7e25ac99188,001,30,Default_Params_2026-01-09_14-23-48.mp4,True,69.8,69.8,,2,live_performance,"{'R_1': '6', 'R_2': '6', 'R_3': '6', 'R_4': '6', 'R_5': '6', 'R_7': '1', 'R_8': '7', 'R_9': '2', 'comments': ""Some harmonious sounds and matching LEDs. Didn't enjoy the random high notes as much as the lower melodious ones"", 'attention': 'Balanced', 'condition_guess': 'audiovisual'}","The fascinating array of colours and visual patterns and when I could imagine the sounds as a familiar instrument or style of music - e.g. steel pan drum, piano, and jazz. ",the very high pitched notes that weren't harmonious and the speed of some that was not harmonious and occasionally alarming. I became wary of the pink notes on the outer edges as they came to represent the sounds I personally didn't like. ,I am curious to know how these clips were created and find out more.,"{'further_comments': 'I am curious to know how these clips were created and find out more.', 'lowest_rated_notes': ""the very high pitched notes that weren't harmonious and the speed of some that was not harmonious and occasionally alarming. I became wary of the pink notes on the outer edges as they came to represent the sounds I personally didn't like. "", 'highest_rated_notes': 'The fascinating array of colours and visual patterns and when I could imagine the sounds as a familiar instrument or style of music - e.g. steel pan drum, piano, and jazz. '}",2026-01-11T15:47:34.978881+00:00
690b7749f82a727cfd18f7e25ac99188,001,26,7974C_B_2026-01-07_17-52-19.mp4,True,90.211,90.211,,7,workshop_education,"{'R_1': '1', 'R_2': '6', 'R_3': '6', 'R_4': '4', 'R_5': '6', 'R_6': '7', 'R_7': '7', 'R_8': '4', 'R_9': '7', 'comments': 'Sounded like lots of tiny humans warming up on percussion instruments and too busy and noisy for me.', 'attention': 'Mostly sound', 'condition_guess': 'audiovisual'}","The fascinating array of colours and visual patterns and when I could imagine the sounds as a familiar instrument or style of music - e.g. steel pan drum, piano, and jazz. ",the very high pitched notes that weren't harmonious and the speed of some that was not harmonious and occasionally alarming. I became wary of the pink notes on the outer edges as they came to represent the sounds I personally didn't like. ,I am curious to know how these clips were created and find out more.,"{'further_comments': 'I am curious to know how these clips were created and find out more.', 'lowest_rated_notes': ""the very high pitched notes that weren't harmonious and the speed of some that was not harmonious and occasionally alarming. I became wary of the pink notes on the outer edges as they came to represent the sounds I personally didn't like. "", 'highest_rated_notes': 'The fascinating array of colours and visual patterns and when I could imagine the sounds as a familiar instrument or style of music - e.g. steel pan drum, piano, and jazz. '}",2026-01-11T15:51:58.512248+00:00
690b7749f82a727cfd18f7e25ac99188,001,24,6770L_C_2026-01-07_15-39-22.mp4,True,103.63,103.63,,7,installation_gallery,"{'R_1': '5', 'R_2': '6', 'R_3': '7', 'R_4': '7', 'R_5': '7', 'R_6': '1', 'R_7': '6', 'R_8': '7', 'R_9': '7', 'comments': 'discordant pink notes on the outer edges spoilt my enjoyment of this clip. found the visuals fascinating especially as the hexagon started to form, wanted it to join up to make a full hexagon as opposed to half hexagon shape. Could anticipate the high pink notes as LED pattern appeared quickly.', 'attention': 'Balanced', 'condition_guess': 'audiovisual'}","The fascinating array of colours and visual patterns and when I could imagine the sounds as a familiar instrument or style of music - e.g. steel pan drum, piano, and jazz. ",the very high pitched notes that weren't harmonious and the speed of some that was not harmonious and occasionally alarming. I became wary of the pink notes on the outer edges as they came to represent the sounds I personally didn't like. ,I am curious to know how these clips were created and find out more.,"{'further_comments': 'I am curious to know how these clips were created and find out more.', 'lowest_rated_notes': ""the very high pitched notes that weren't harmonious and the speed of some that was not harmonious and occasionally alarming. I became wary of the pink notes on the outer edges as they came to represent the sounds I personally didn't like. "", 'highest_rated_notes': 'The fascinating array of colours and visual patterns and when I could imagine the sounds as a familiar instrument or style of music - e.g. steel pan drum, piano, and jazz. '}",2026-01-11T15:57:45.780000+00:00
690b7749f82a727cfd18f7e25ac99188,001,16,5344J_A_2026-01-05_17-06-17.mp4,True,78.017,78.017,,7,workshop_education,"{'R_1': '5', 'R_2': '4', 'R_3': '4', 'R_4': '3', 'R_5': '6', 'R_6': '2', 'R_7': '2', 'R_8': '2', 'R_9': '7', 'comments': 'found lower more subtle tones more harmonious than the higher pitched ones. Felt like the sound may have been generated by humans as if playing a xylophone. ', 'attention': 'Mostly sound', 'condition_guess': 'audio_only'}","The fascinating array of colours and visual patterns and when I could imagine the sounds as a familiar instrument or style of music - e.g. steel pan drum, piano, and jazz. ",the very high pitched notes that weren't harmonious and the speed of some that was not harmonious and occasionally alarming. I became wary of the pink notes on the outer edges as they came to represent the sounds I personally didn't like. ,I am curious to know how these clips were created and find out more.,"{'further_comments': 'I am curious to know how these clips were created and find out more.', 'lowest_rated_notes': ""the very high pitched notes that weren't harmonious and the speed of some that was not harmonious and occasionally alarming. I became wary of the pink notes on the outer edges as they came to represent the sounds I personally didn't like. "", 'highest_rated_notes': 'The fascinating array of colours and visual patterns and when I could imagine the sounds as a familiar instrument or style of music - e.g. steel pan drum, piano, and jazz. '}",2026-01-11T16:02:21.859758+00:00
690b7749f82a727cfd18f7e25ac99188,001,22,6770L_A_2026-01-07_14-48-10.mp4,True,70.406,70.406,,4,unsure,"{'R_1': '4', 'R_2': '6', 'R_3': '7', 'R_4': '6', 'R_5': '6', 'R_6': '7', 'R_7': '7', 'R_8': '1', 'R_9': '4', 'comments': 'The sound was overwhelming at times. Visuals were pretty but too much going on for me.', 'attention': 'Mostly sound', 'condition_guess': 'audiovisual'}","The fascinating array of colours and visual patterns and when I could imagine the sounds as a familiar instrument or style of music - e.g. steel pan drum, piano, and jazz. ",the very high pitched notes that weren't harmonious and the speed of some that was not harmonious and occasionally alarming. I became wary of the pink notes on the outer edges as they came to represent the sounds I personally didn't like. ,I am curious to know how these clips were created and find out more.,"{'further_comments': 'I am curious to know how these clips were created and find out more.', 'lowest_rated_notes': ""the very high pitched notes that weren't harmonious and the speed of some that was not harmonious and occasionally alarming. I became wary of the pink notes on the outer edges as they came to represent the sounds I personally didn't like. "", 'highest_rated_notes': 'The fascinating array of colours and visual patterns and when I could imagine the sounds as a familiar instrument or style of music - e.g. steel pan drum, piano, and jazz. '}",2026-01-11T16:07:32.819762+00:00
690b7749f82a727cfd18f7e25ac99188,001,20,5747E_B_2026-01-09_15-54-52.mp4,True,78.004,78.004,,4,background_ambience,"{'R_1': '6', 'R_2': '6', 'R_3': '6', 'R_4': '6', 'R_5': '6', 'R_6': '1', 'R_7': '1', 'R_8': '3', 'R_9': '4', 'comments': 'fewer sounds and slower pace made it possible to appreciate the visual and audio experience.', 'attention': 'Balanced', 'condition_guess': 'audiovisual'}","The fascinating array of colours and visual patterns and when I could imagine the sounds as a familiar instrument or style of music - e.g. steel pan drum, piano, and jazz. ",the very high pitched notes that weren't harmonious and the speed of some that was not harmonious and occasionally alarming. I became wary of the pink notes on the outer edges as they came to represent the sounds I personally didn't like. ,I am curious to know how these clips were created and find out more.,"{'further_comments': 'I am curious to know how these clips were created and find out more.', 'lowest_rated_notes': ""the very high pitched notes that weren't harmonious and the speed of some that was not harmonious and occasionally alarming. I became wary of the pink notes on the outer edges as they came to represent the sounds I personally didn't like. "", 'highest_rated_notes': 'The fascinating array of colours and visual patterns and when I could imagine the sounds as a familiar instrument or style of music - e.g. steel pan drum, piano, and jazz. '}",2026-01-11T16:10:57.941499+00:00
690b7749f82a727cfd18f7e25ac99188,001,13,5220H_A_2026-01-05_19-23-19.mp4,True,81.271,81.271,,1,live_performance,"{'R_1': '4', 'R_2': '7', 'R_3': '7', 'R_4': '7', 'R_5': '7', 'R_6': '1', 'R_7': '4', 'R_8': '4', 'R_9': '1', 'comments': 'Intense  and fascinating vibrant visuals, Sound a little too discordant for me at times but intriguing to watch.', 'attention': 'Balanced', 'condition_guess': 'audiovisual'}","The fascinating array of colours and visual patterns and when I could imagine the sounds as a familiar instrument or style of music - e.g. steel pan drum, piano, and jazz. ",the very high pitched notes that weren't harmonious and the speed of some that was not harmonious and occasionally alarming. I became wary of the pink notes on the outer edges as they came to represent the sounds I personally didn't like. ,I am curious to know how these clips were created and find out more.,"{'further_comments': 'I am curious to know how these clips were created and find out more.', 'lowest_rated_notes': ""the very high pitched notes that weren't harmonious and the speed of some that was not harmonious and occasionally alarming. I became wary of the pink notes on the outer edges as they came to represent the sounds I personally didn't like. "", 'highest_rated_notes': 'The fascinating array of colours and visual patterns and when I could imagine the sounds as a familiar instrument or style of music - e.g. steel pan drum, piano, and jazz. '}",2026-01-11T16:15:00.794006+00:00
690b7749f82a727cfd18f7e25ac99188,001,11,4939Z_B_2026-01-06_19-31-45.mp4,True,76.269,76.269,,3,live_performance,"{'R_1': '6', 'R_2': '7', 'R_3': '7', 'R_4': '6', 'R_6': '2', 'R_7': '1', 'R_8': '4', 'R_9': '3', 'comments': 'loved to see the visual patterns forming and corresponding sound. Still struggle with the tone of the higher notes which seem a little too sharp for me.', 'attention': 'Mostly light', 'condition_guess': 'audiovisual'}","The fascinating array of colours and visual patterns and when I could imagine the sounds as a familiar instrument or style of music - e.g. steel pan drum, piano, and jazz. ",the very high pitched notes that weren't harmonious and the speed of some that was not harmonious and occasionally alarming. I became wary of the pink notes on the outer edges as they came to represent the sounds I personally didn't like. ,I am curious to know how these clips were created and find out more.,"{'further_comments': 'I am curious to know how these clips were created and find out more.', 'lowest_rated_notes': ""the very high pitched notes that weren't harmonious and the speed of some that was not harmonious and occasionally alarming. I became wary of the pink notes on the outer edges as they came to represent the sounds I personally didn't like. "", 'highest_rated_notes': 'The fascinating array of colours and visual patterns and when I could imagine the sounds as a familiar instrument or style of music - e.g. steel pan drum, piano, and jazz. '}",2026-01-11T16:18:29.411661+00:00
690b7749f82a727cfd18f7e25ac99188,001,3,1661J_C_2026-01-06_12-27-39.mp4,True,80.698,80.698,,7,live_performance,"{'R_1': '7', 'R_2': '7', 'R_3': '7', 'R_4': '7', 'R_5': '7', 'R_6': '1', 'R_7': '1', 'R_8': '6', 'R_9': '7', 'comments': 'felt like a digital steel pan drum experience. ', 'attention': 'Mostly sound', 'condition_guess': 'audiovisual'}","The fascinating array of colours and visual patterns and when I could imagine the sounds as a familiar instrument or style of music - e.g. steel pan drum, piano, and jazz. ",the very high pitched notes that weren't harmonious and the speed of some that was not harmonious and occasionally alarming. I became wary of the pink notes on the outer edges as they came to represent the sounds I personally didn't like. ,I am curious to know how these clips were created and find out more.,"{'further_comments': 'I am curious to know how these clips were created and find out more.', 'lowest_rated_notes': ""the very high pitched notes that weren't harmonious and the speed of some that was not harmonious and occasionally alarming. I became wary of the pink notes on the outer edges as they came to represent the sounds I personally didn't like. "", 'highest_rated_notes': 'The fascinating array of colours and visual patterns and when I could imagine the sounds as a familiar instrument or style of music - e.g. steel pan drum, piano, and jazz. '}",2026-01-11T16:22:38.200699+00:00
690b7749f82a727cfd18f7e25ac99188,001,14,5220H_B_2026-01-05_20-22-36.mp4,True,82.584,82.584,,4,unsure,"{'R_1': '5', 'R_2': '4', 'R_3': '4', 'R_4': '6', 'R_5': '6', 'R_6': '5', 'R_7': '5', 'R_8': '3', 'R_9': '4', 'comments': 'thought I could hear a melody initially but then felt a little overwhelmed by the discordant sounds', 'attention': 'Mostly sound', 'condition_guess': 'unsure'}","The fascinating array of colours and visual patterns and when I could imagine the sounds as a familiar instrument or style of music - e.g. steel pan drum, piano, and jazz. ",the very high pitched notes that weren't harmonious and the speed of some that was not harmonious and occasionally alarming. I became wary of the pink notes on the outer edges as they came to represent the sounds I personally didn't like. ,I am curious to know how these clips were created and find out more.,"{'further_comments': 'I am curious to know how these clips were created and find out more.', 'lowest_rated_notes': ""the very high pitched notes that weren't harmonious and the speed of some that was not harmonious and occasionally alarming. I became wary of the pink notes on the outer edges as they came to represent the sounds I personally didn't like. "", 'highest_rated_notes': 'The fascinating array of colours and visual patterns and when I could imagine the sounds as a familiar instrument or style of music - e.g. steel pan drum, piano, and jazz. '}",2026-01-11T16:27:00.838942+00:00
